stop_id,stop_name,stop_lat,stop_lon
F01S,Jamaica-179 St,40.712646,-73.783817
F02S,169 St,40.71047,-73.793604
F03S,Parsons Blvd,40.707564,-73.803326
F04S,Sutphin Blvd,40.70546,-73.810708
F05S,Briarwood,40.709179,-73.820574
F06S,Kew Gardens-Union Tpke,40.714441,-73.831008
F07S,75 Av,40.718331,-73.837324
G08S,Forest Hills-71 Av,40.721691,-73.844521
G09S,67 Av,40.726523,-73.852719
G10S,63 Dr-Rego Park,40.729846,-73.861604
G11S,Woodhaven Blvd,40.733106,-73.869229
G12S,Grand Av-Newtown,40.737015,-73.877223
G13S,Elmhurst Av,40.742454,-73.882017
G14S,Jackson Hts-Roosevelt Av,40.746644,-73.891338
G15S,65 St,40.749669,-73.898453
G16S,Northern Blvd,40.752885,-73.906006
G18S,46 St,40.756312,-73.913333
G19S,Steinway St,40.756879,-73.92074
G20S,36 St,40.752039,-73.928781
B04S,21 St-Queensbridge,40.754203,-73.942836
B06S,Roosevelt Island,40.759145,-73.95326
B08S,Lexington Av/63 St,40.764629,-73.966113
B10S,57 St,40.763972,-73.97745
D15S,47-50 Sts-Rockefeller Ctr,40.758663,-73.981329
D16S,42 St-Bryant Pk,40.754222,-73.984569
D17S,34 St-Herald Sq,40.749719,-73.987823
D18S,23 St,40.742878,-73.992821
D19S,14 St,40.738228,-73.996209
D20S,W 4 St-Wash Sq,40.732338,-74.000495
D21S,Broadway-Lafayette St,40.725297,-73.996204
F14S,2 Av,40.723402,-73.989938
F15S,Delancey St-Essex St,40.718611,-73.988114
F16S,East Broadway,40.713715,-73.990173
F18S,York St,40.701397,-73.986751
A41S,Jay St-MetroTech,40.692338,-73.987342
F20S,Bergen St,40.686145,-73.990862
F21S,Carroll St,40.680303,-73.995048
F22S,Smith-9 Sts,40.67358,-73.995959
F23S,4 Av-9 St,40.670272,-73.989779
F24S,7 Av,40.666271,-73.980305
F25S,15 St-Prospect Park,40.660365,-73.979493
F26S,Fort Hamilton Pkwy,40.650782,-73.975776
F27S,Church Av,40.644041,-73.979678
F29S,Ditmas Av,40.636119,-73.978172
F30S,18 Av,40.629755,-73.976971
F31S,Avenue I,40.625322,-73.976127
F32S,Bay Pkwy,40.620769,-73.975264
F33S,Avenue N,40.61514,-73.974197
F34S,Avenue P,40.608944,-73.973022
F35S,Kings Hwy,40.603217,-73.972361
F36S,Avenue U,40.596063,-73.973357
F38S,Avenue X,40.58962,-73.97425
F39S,Neptune Av,40.581011,-73.974574
D42S,W 8 St-NY Aquarium,40.576127,-73.975939
D43S,Coney Island-Stillwell Av,40.577422,-73.981233
D42N,W 8 St-NY Aquarium,40.576127,-73.975939
F39N,Neptune Av,40.581011,-73.974574
F38N,Avenue X,40.58962,-73.97425
F36N,Avenue U,40.596063,-73.973357
F35N,Kings Hwy,40.603217,-73.972361
F34N,Avenue P,40.608944,-73.973022
F33N,Avenue N,40.61514,-73.974197
F32N,Bay Pkwy,40.620769,-73.975264
F31N,Avenue I,40.625322,-73.976127
F30N,18 Av,40.629755,-73.976971
F29N,Ditmas Av,40.636119,-73.978172
F27N,Church Av,40.644041,-73.979678
F26N,Fort Hamilton Pkwy,40.650782,-73.975776
F25N,15 St-Prospect Park,40.660365,-73.979493
F24N,7 Av,40.666271,-73.980305
F23N,4 Av-9 St,40.670272,-73.989779
F22N,Smith-9 Sts,40.67358,-73.995959
F21N,Carroll St,40.680303,-73.995048
F20N,Bergen St,40.686145,-73.990862
A41N,Jay St-MetroTech,40.692338,-73.987342
F18N,York St,40.701397,-73.986751
F16N,East Broadway,40.713715,-73.990173
F15N,Delancey St-Essex St,40.718611,-73.988114
F14N,2 Av,40.723402,-73.989938
D21N,Broadway-Lafayette St,40.725297,-73.996204
D20N,W 4 St-Wash Sq,40.732338,-74.000495
D19N,14 St,40.738228,-73.996209
D18N,23 St,40.742878,-73.992821
D17N,34 St-Herald Sq,40.749719,-73.987823
D16N,42 St-Bryant Pk,40.754222,-73.984569
D15N,47-50 Sts-Rockefeller Ctr,40.758663,-73.981329
B10N,57 St,40.763972,-73.97745
B08N,Lexington Av/63 St,40.764629,-73.966113
B06N,Roosevelt Island,40.759145,-73.95326
B04N,21 St-Queensbridge,40.754203,-73.942836
G20N,36 St,40.752039,-73.928781
G19N,Steinway St,40.756879,-73.92074
G18N,46 St,40.756312,-73.913333
G16N,Northern Blvd,40.752885,-73.906006
G15N,65 St,40.749669,-73.898453
G14N,Jackson Hts-Roosevelt Av,40.746644,-73.891338
G13N,Elmhurst Av,40.742454,-73.882017
G12N,Grand Av-Newtown,40.737015,-73.877223
G11N,Woodhaven Blvd,40.733106,-73.869229
G10N,63 Dr-Rego Park,40.729846,-73.861604
G09N,67 Av,40.726523,-73.852719
G08N,Forest Hills-71 Av,40.721691,-73.844521
F07N,75 Av,40.718331,-73.837324
F06N,Kew Gardens-Union Tpke,40.714441,-73.831008
F05N,Briarwood,40.709179,-73.820574
F04N,Sutphin Blvd,40.70546,-73.810708
F03N,Parsons Blvd,40.707564,-73.803326
F02N,169 St,40.71047,-73.793604
F01N,Jamaica-179 St,40.712646,-73.783817
