stop_id,stop_name,stop_lat,stop_lon
A09S,168 St,40.840719,-73.939561
A10S,163 St-Amsterdam Av,40.836013,-73.939892
A11S,155 St,40.830518,-73.941514
A12S,145 St,40.824783,-73.944216
A14S,135 St,40.817894,-73.947649
A15S,125 St,40.811109,-73.952343
A16S,116 St,40.805085,-73.954882
A17S,Cathedral Pkwy (110 St),40.800603,-73.958161
A18S,103 St,40.796092,-73.961454
A19S,96 St,40.791642,-73.964696
A20S,86 St,40.785868,-73.968916
A21S,81 St-Museum of Natural History,40.781433,-73.972143
A22S,72 St,40.775594,-73.97641
A24S,59 St-Columbus Circle,40.768296,-73.981736
A25S,50 St,40.762456,-73.985984
A27S,42 St-Port Authority Bus Terminal,40.757308,-73.989735
A28S,34 St-Penn Station,40.752287,-73.993391
A30S,23 St,40.745906,-73.998041
A31S,14 St,40.740893,-74.00169
A32S,W 4 St-Wash Sq,40.732338,-74.000495
A33S,Spring St,40.726227,-74.003739
A34S,Canal St,40.720824,-74.005229
A36S,Chambers St,40.714111,-74.008585
A38S,Fulton St,40.710197,-74.007691
A40S,High St,40.699337,-73.990531
A41S,Jay St-MetroTech,40.692338,-73.987342
A42S,Hoyt-Schermerhorn Sts,40.688484,-73.985001
A43S,Lafayette Av,40.686113,-73.973946
A44S,Clinton-Washington Avs,40.683263,-73.965838
A45S,Franklin Av,40.68138,-73.956848
A46S,Nostrand Av,40.680438,-73.950426
A47S,Kingston-Throop Avs,40.679921,-73.940858
A48S,Utica Av,40.679364,-73.930729
A49S,Ralph Av,40.678822,-73.920786
A50S,Rockaway Av,40.67834,-73.911946
A51S,Broadway Junction,40.678334,-73.905316
A52S,Liberty Av,40.674542,-73.896548
A53S,Van Siclen Av,40.67271,-73.890358
A54S,Shepherd Av,40.67413,-73.88075
A55S,Euclid Av,40.675377,-73.872106
A54N,Shepherd Av,40.67413,-73.88075
A53N,Van Siclen Av,40.67271,-73.890358
A52N,Liberty Av,40.674542,-73.896548
A51N,Broadway Junction,40.678334,-73.905316
A50N,Rockaway Av,40.67834,-73.911946
A49N,Ralph Av,40.678822,-73.920786
A48N,Utica Av,40.679364,-73.930729
A47N,Kingston-Throop Avs,40.679921,-73.940858
A46N,Nostrand Av,40.680438,-73.950426
A45N,Franklin Av,40.68138,-73.956848
A44N,Clinton-Washington Avs,40.683263,-73.965838
A43N,Lafayette Av,40.686113,-73.973946
A42N,Hoyt-Schermerhorn Sts,40.688484,-73.985001
A41N,Jay St-MetroTech,40.692338,-73.987342
A40N,High St,40.699337,-73.990531
A38N,Fulton St,40.710197,-74.007691
A36N,Chambers St,40.714111,-74.008585
A34N,Canal St,40.720824,-74.005229
A33N,Spring St,40.726227,-74.003739
A32N,W 4 St-Wash Sq,40.732338,-74.000495
A31N,14 St,40.740893,-74.00169
A30N,23 St,40.745906,-73.998041
A28N,34 St-Penn Station,40.752287,-73.993391
A27N,42 St-Port Authority Bus Terminal,40.757308,-73.989735
A25N,50 St,40.762456,-73.985984
A24N,59 St-Columbus Circle,40.768296,-73.981736
A22N,72 St,40.775594,-73.97641
A21N,81 St-Museum of Natural History,40.781433,-73.972143
A20N,86 St,40.785868,-73.968916
A19N,96 St,40.791642,-73.964696
A18N,103 St,40.796092,-73.961454
A17N,Cathedral Pkwy (110 St),40.800603,-73.958161
A16N,116 St,40.805085,-73.954882
A15N,125 St,40.811109,-73.952343
A14N,135 St,40.817894,-73.947649
A12N,145 St,40.824783,-73.944216
A11N,155 St,40.830518,-73.941514
A10N,163 St-Amsterdam Av,40.836013,-73.939892
A09N,168 St,40.840719,-73.939561
